 ,Measles - number of reported cases,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988,1987,1986,1985,1984,1983,1982,1981,1980
Global,353236,173457,132413,214816,282078,275307,212376,359332,343806,278637,278751,285031,377576,585701,513406,679856,586471,849173,853479,752407,694466,825673,870218,720391,926808,1143945,1481192,1370243,1325074,1822390,1663940,1682847,2078696,2819553,3026973,3586101,3623758,4078455,3852242
Africa,125426,72603,36269,52758,73914,171178,108004,195620,199174,83479,37012,76410,99420,316219,220180,403016,288340,491989,520102,486660,373149,299623,484914,362925,420193,395025,581125,446517,481204,561896,604244,641057,676757,1142002,1076106,1346883,1342685,1413184,1240993
Americas,16327,895,97,611,1966,491,143,1348,247,89,206,176,226,85,108,119,2579,548,1754,3209,14330,53567,1910,6478,23784,57400,100741,157602,218579,137417,133244,151396,227452,199744,202758,137410,153746,252378,257790
South-East Asia,34741,28474,27530,48888,42899,24564,31582,69546,54228,84356,72547,73545,98124,88973,112041,94598,76912,81771,78558,47741,62759,115844,102205,100900,152106,141301,168772,211085,224925,443014,292916,319049,201190,244113,302042,208154,258666,305787,199535
Europe,82523,24356,4363,25965,14176,26346,27379,37101,30625,7499,8879,6936,53344,37338,29510,28203,46718,58364,37421,38811,77872,215767,178345,154107,190910,341982,330546,304166,185818,374023,289609,145003,422573,373610,336329,597455,434521,460966,492660
Eastern Mediterranean,64722,36434,6275,21418,18080,20884,34504,34667,10072,36605,12120,15670,23303,15069,59804,52110,42616,41103,38592,71562,89478,33085,20249,20607,24578,50758,89758,64177,59058,83776,126977,171164,171208,229781,218335,302254,331721,453409,341624
Western Pacific,29497,10695,57879,65176,131043,31844,10764,21050,49460,66609,147987,112294,103159,128017,91763,101810,129306,175398,177052,104424,76878,107787,82595,75374,115237,157479,210250,186696,155490,222264,216950,255178,379516,630303,891403,993945,1102419,1192731,1319640
